Source,Target,Airline;Price
SFJ,JHS,GRL;92,94
THU,NAQ,GRL;24,74
AEY,RKV,FXI;45,02
EGS,RKV,FXI;61,56
IFJ,RKV,FXI;14,5
KEF,GOH,GRL;61,08
KEF,YEG,ICE;21,47
KEF,YYZ,ICE;92,05
KEF,BRU,ICE;40,48
KEF,SXF,BMI;73,22
KEF,FRA,ICE;58,39
KEF,MUC,ICE;13,73
KEF,HEL,FIN;15,17
KEF,HEL,ICE;91,13
KEF,MAN,ICE;26,88
KEF,MAN,EZY;36,93
KEF,BRS,EZY;33,53
KEF,LTN,EZY;4,4
KEF,LGW,ICE;95,86
KEF,LGW,BMI;45,44
KEF,LHR,ICE;13,29
KEF,GLA,ICE;87,4
KEF,EDI,EZY;5,92
KEF,AMS,ICE;64,68
KEF,BLL,ICE;11,68
KEF,CPH,ICE;97,43
KEF,CPH,BMI;95,99
KEF,BGO,NAX;6,28
KEF,BGO,ICE;0,56
KEF,OSL,NAX;43,54
KEF,OSL,ICE;82,39
KEF,OSL,SAS;64,27
KEF,ARN,ICE;91,34
KEF,ALC,BMI;56,16
KEF,CDG,ICE;35,19
KEF,CDG,BMI;43,45
KEF,ZRH,ICE;18,13
KEF,BOS,ICE;32,53
KEF,EWR,ICE;30,44
KEF,SEA,ICE;41,94
KEF,IAD,ICE;26,88
KEF,DEN,ICE;80,37
KEF,JFK,ICE;69,76
KEF,BSL,EZY;92,38
KEF,SFB,ICE;73,22
RKV,GOH,FXI;6,73
RKV,AEY,FXI;16,14
RKV,EGS,FXI;77,38
RKV,IFJ,FXI;20,23
RKV,KUS,FXI;48,45
YAM,YQT,BLS;73,25
YAM,YSB,BLS;32,27
YAM,YTZ,POE;10,61
YAM,YYZ,ACA;84,12
YBC,YQB,NAK;43,24
YBC,YUL,ACA;78,25
YBC,YYY,ACA;31,16
YBC,YYY,NAK;46,75
YBG,YUL,ACA;83,86
YBK,YRT,FAB;67,02
YBK,YRT,AUH;32,75
YBK,YUT,FAB;11,76
YBK,YCS,MPE;92,95
YBK,YCS,AUH;72,43
YBK,YXN,MPE;41,92
YBL,YQQ,PCO;56,36
YBL,YQQ,ACA;70,04
YBL,YVR,PCO;15,09
YBL,ZEL,PCO;84,94
YBR,YYC,WJA;74,24
YCB,YCO,MPE;60,5
YCB,YCO,FAB;92,11
YCB,YHK,FAB;2,85
YCB,YYH,MPE;39,45
YCB,YZF,MPE;22,78
YCB,YZF,FAB;97,29
YCD,YVR,ACA;62,34
YCD,YYC,WJA;43,39
YCG,YVR,ACA;8,26
YCG,YYC,ACA;90,55
YCO,YCB,MPE;83,93
YCO,YCB,FAB;0,99
YCO,YHI,FAB;46,16
YCO,YZF,MPE;20,93
YCO,YZF,FAB;64,25
YCY,YFB,MPE;99,59
YCY,YFB,FAB;21,59
YCY,YIO,MPE;5,32
YCY,YIO,FAB;15,16
YZS,YRT,MPE;95,53
YZS,YRT,AUH;51,36
YZS,YTE,FAB;64,25
YZS,YUT,MPE;50,17
YZS,YUT,AUH;81,06
YZS,YCS,FAB;71,01
YDF,YHZ,ACA;65,47
YDF,YYR,ACA;43,17
YDF,YYT,ACA;14,04
YDF,YYZ,ACA;40,45
YDF,YYZ,WJA;94,78
YEG,KEF,ICE;4,68
YEG,YHM,WJA;94,41
YEG,YHY,PLR;87,27
YEG,YLW,WJA;17,95
YEG,YMM,ACA;60,82
YEG,YMM,PLR;56,11
YEG,YMM,KLM;66
YEG,YMM,WJA;40,48
YEG,YOW,ACA;74,04
YEG,YOW,WJA;84,27
YEG,YQQ,WJA;70,42
YEG,YQR,ACA;98,05
YEG,YQR,WJA;35,61
YEG,YQU,ACA;46,96
YEG,YQU,WJA;50,63
YEG,YSM,PLR;20,94
YEG,YUL,ACA;57,9
YEG,YUL,WJA;5,63
YEG,YVR,ACA;90,28
YEG,YVR,JAL;6,21
YEG,YVR,WJA;74,7
YEG,YWG,ACA;5,04
YEG,YWG,KLM;65,35
YEG,YWG,WJA;75,78
YEG,YXE,ACA;29,85
YEG,YXE,WJA;66,81
YEG,YXX,WJA;87,84
YEG,YXY,ANT;22,97
YEG,YYC,ACA;75,39
YEG,YYC,WJA;92,11
YEG,YYJ,WJA;24,46
YEG,YYZ,ACA;16,61
YEG,YYZ,WJA;23,32
YEG,YZF,MPE;31
YEG,YZF,FAB;39,11
YEG,YZF,ACA;4,14
YEG,YZF,JAL;89,14
YEG,YZF,WJA;23,94
YEG,LHR,ACA;69,07
YEG,LHR,DLH;41,59
YEG,PVR,WJA;90,66
YEG,CUN,WJA;34,03
YEG,PHX,AAL;7,43
YEG,PHX,USA;13,65
YEG,PHX,WJA;37,64
YEG,SFO,ACA;72,2
YEG,SFO,UAL;3,84
YEG,LAX,AAL;85,83
YEG,LAX,DAL;19,77
YEG,LAX,WJA;55,66
YEG,EWR,ACA;25,87
YEG,EWR,UAL;64,69
YEG,IAH,ACA;36,64
YEG,IAH,UAL;92,68
YEG,SEA,ASA;40,03
YEG,DFW,AAL;66,1
YEG,DEN,ACA;56,27
YEG,DEN,UAL;64,45
YEG,ORD,ACA;43,38
YEG,ORD,UAL;27,7
YEG,PSP,WJA;43,91
YEG,MSP,DAL;68,21
YEG,LAS,AAL;17,97
YEG,LAS,WJA;81,71
YEK,YRT,FAB;52,7
YEK,YRT,AUH;41,44
YEK,YYQ,MPE;71,42
YEK,YYQ,AUH;97,06
YEK,YXN,MPE;63,87
YEK,YXN,FAB;87,27
YEK,YXN,AUH;40,26
YEV,YVQ,MPE;47,36
YEV,YVQ,FAB;36,18
YEV,YGH,FHE;30,33
YFB,YCY,MPE;38,29
YFB,YCY,FAB;47,42
YFB,YOW,MPE;37,27
YFB,YOW,FAB;2,31
YFB,YRT,MPE;25,29
YFB,YRT,FAB;13,84
YFB,YRT,AUH;64,18
YFB,YTE,MPE;48,17
YFB,YTE,FAB;52,85
YFB,YUX,MPE;54,84
YFB,YUX,FAB;46,2
YFB,YVP,FAB;69,36
YFB,YXP,MPE;54,95
YFB,YXP,FAB;30,41
YFB,YGT,MPE;57,76
YFB,YGT,FAB;82,76
YFB,YLC,FAB;62,53
YFB,YAB,FAB;13,73
YFC,YHZ,ACA;18,53
YFC,YOW,ACA;79,53
YFC,YUL,ACA;54,35
YFC,YYZ,ACA;86,51
YFO,YTH,AUH;9,6
YFO,YWG,AUH;19,41
YFO,YQD,BLS;13,32
YFO,YQD,AUH;90,37
YFS,YZF,FAB;0,96
YGK,YYZ,ACA;70,46
YGP,YGR,ACA;65,5
YGP,YQB,ACA;39,36
YGR,YGP,ACA;22,87
YHD,YQK,BLS;88,76
YHD,YQT,BLS;64,19
YHD,YXL,BLS;7,45
YHD,YRL,BLS;12,7
YHI,YCO,FAB;23,13
YHK,YCB,FAB;88,86
YHK,YYH,MPE;20,72
YHK,YYH,FAB;56,83
YHK,YZF,MPE;99,48
YHM,YEG,WJA;63,9
YHM,YHZ,WJA;14,26
YHM,YQM,WJA;43,32
YHM,YYC,WJA;34,16
YHY,YEG,PLR;39,35
YHY,YSM,PLR;30,37
YHY,YZF,FAB;33,46
YHZ,YDF,ACA;30,16
YHZ,YFC,ACA;75,67
YHZ,YHM,WJA;69,8
YHZ,YOW,ACA;18,72
YHZ,YOW,POE;81,62
YHZ,YOW,WJA;92,13
YHZ,YQM,ACA;85,38
YHZ,YQX,ACA;99,96
YHZ,YQY,ACA;42,47
YHZ,YSJ,ACA;23,83
YHZ,YUL,ACA;17,73
YHZ,YUL,POE;75,14
YHZ,YYC,WJA;66,34
YHZ,YYG,ACA;86,89
YHZ,YYR,ACA;85,89
YHZ,YYT,ACA;2,29
YHZ,YYT,KLM;21,48
YHZ,YYT,POE;84
YHZ,YYT,WJA;55,18
YHZ,YYZ,ACA;6,21
YHZ,YYZ,KLM;32,24
YHZ,YYZ,WJA;88,67
YHZ,FRA,CFG;15,79
YHZ,LHR,ACA;73,64
YHZ,LHR,DLH;71,75
YHZ,FSP,SPM;25,31
YHZ,PUJ,WJA;22,04
YHZ,MBJ,WJA;88,15
YHZ,CUN,WJA;14,32
YHZ,BOS,ACA;21,39
YHZ,BOS,UAL;72,21
YHZ,EWR,UAL;74,48
YHZ,DCA,AAL;94,55
YHZ,DCA,USA;1,6
YHZ,LGA,DAL;96,7
YHZ,LGA,WJA;71,98
YHZ,PHL,AAL;51,71
YHZ,PHL,USA;32,85
YHZ,ORD,ACA;62,95
YHZ,ORD,UAL;81,88
YHZ,MCO,TSC;36,8
YHZ,MCO,WJA;66,52
YIO,YCY,MPE;40,91
YIO,YCY,FAB;92,24
YIO,YGT,MPE;47,55
YKA,YVR,ACA;43,47
YKA,YYC,ACA;55,32
YKA,YYC,WJA;54,09
YKF,YYC,WJA;59,7
YKF,ORD,AAL;16,46
YKF,ORD,USA;59,09
YLW,YEG,WJA;3,37
YLW,YQF,PLR;78,78
YLW,YVR,ANT;50,34
YLW,YVR,ACA;10,1
YLW,YVR,WJA;30,77
YLW,YXC,PCO;78,93
YLW,YXY,ANT;90,44
YLW,YYC,ACA;57,64
YLW,YYC,WJA;67,5
YLW,YYJ,WJA;42,72
YLW,YYZ,WJA;47,7
YLW,LAX,ACA;79,17
YLW,LAX,UAL;34,5
YLW,SEA,ASA;44,91
YMM,YEG,ACA;67,89
YMM,YEG,PLR;70,09
YMM,YEG,WJA;57,82
YMM,YPY,PLR;54,74
YMM,YQF,PLR;25,05
YMM,YVR,ACA;47,14
YMM,YYC,ACA;50,27
YMM,YYC,WJA;48,68
YMM,YYZ,ACA;56,64
YMM,YYZ,WJA;86,91
YMM,DEN,ACA;36,3
YMM,DEN,UAL;25,57
YNA,YZV,NAK;39,37
YNA,YZV,WEB;62,62
YNA,YHR,WEB;49,48
YNA,ZKG,WEB;79,53
YOW,YEG,ACA;58,04
YOW,YEG,WJA;37,82
YOW,YFB,MPE;58,7
YOW,YFB,FAB;61,38
YOW,YFB,AUH;17,74
YOW,YFC,ACA;98,96
YOW,YHZ,ACA;94,12
YOW,YHZ,POE;34,74
YOW,YHZ,WJA;11,86
YOW,YQB,ACA;69,25
YOW,YQM,ACA;5,78
YOW,YQM,POE;89,65
YOW,YTZ,POE;55,66
YOW,YUL,ACA;32,54
YOW,YVR,ACA;47,02
YOW,YWG,ACA;18,17
YOW,YWG,WJA;57,35
YOW,YXU,ACA;50,49
YOW,YYC,ACA;27,26
YOW,YYC,WJA;68,29
YOW,YYT,ACA;80,13
YOW,YYT,WJA;14,59
YOW,YYZ,ACA;76,78
YOW,YYZ,KLM;38,98
YOW,YYZ,WJA;86,28
YOW,YZF,ANT;91,74
YOW,FRA,ACA;56,03
YOW,FRA,DLH;10,47
YOW,LHR,ACA;82,64
YOW,LHR,DLH;24,4
YOW,BOS,ACA;99,73
YOW,BOS,UAL;95,7
YOW,EWR,UAL;22,69
YOW,DCA,ACA;92,44
YOW,DTW,DAL;14,95
YOW,LGA,ACA;11,82
YOW,LGA,UAL;20,86
YOW,IAD,ACA;50,31
YOW,IAD,UAL;74,02
YOW,PHL,AAL;40,25
YOW,PHL,USA;48,49
YOW,ORD,ACA;35,89
YOW,ORD,UAL;84,05
YOW,CLT,AAL;38,24
YOW,CLT,USA;59,44
YPN,YZV,NAK;17,5
YPN,YGV,NAK;56,5
YPR,YVR,ACA;49,87
YPY,YMM,PLR;74,36
YPY,YSM,PLR;12,16
YQB,YBC,NAK;82,26
YQB,YGP,ACA;29,02
YQB,YOW,ACA;7,22
YQB,YTZ,POE;22
YQB,YUL,ACA;15,49
YQB,YUL,TSC;2,18
YQB,YYZ,ACA;90,37
YQB,YYZ,WJA;30,47
YQB,YZV,ACA;98,89
YQB,YZV,NAK;10,73
YQB,CDG,TSC;9,05
YQB,PUJ,TSC;82,79
YQB,EWR,UAL;27,87
YQB,PHL,AAL;4,84
YQB,PHL,USA;8,26
YQB,ORD,ACA;9,2
YQB,ORD,UAL;71,27
YQF,YLW,PLR;30,81
YQF,YMM,PLR;26,27
YQF,YYC,ACA;30,34
YQG,YTZ,POE;12,25
YQG,YYC,WJA;80,87
YQG,YYZ,ACA;22,65
YQK,YHD,BLS;48,84
YQK,YWG,BLS;18,01
YQK,YAG,BLS;76,49
YQL,YYC,ACA;22,09
YQM,YHM,WJA;14,09
YQM,YHZ,ACA;1,82
YQM,YOW,ACA;98,6
YQM,YOW,POE;97,04
YQM,YUL,ACA;28,33
YQM,YYZ,ACA;4,24
YQM,YYZ,WJA;43,62
YQM,EWR,UAL;17,46
YQM,MCO,TSC;91,4
YQM,MCO,WJA;62,06
YQQ,YBL,PCO;78,95
YQQ,YEG,WJA;71,81
YQQ,YVR,PCO;42,64
YQQ,YVR,ACA;75,66
YQQ,YYC,WJA;42,69
YQR,YEG,ACA;69,65
YQR,YEG,WJA;3,42
YQR,YVR,ACA;38,76
YQR,YVR,WJA;96,51
YQR,YWG,ACA;84,14
YQR,YWG,WJA;91,78
YQR,YYC,ACA;44,59
YQR,YYC,WJA;29,71
YQR,YYZ,ACA;54,25
YQR,YYZ,WJA;95,64
YQR,DEN,ACA;52,4
YQR,DEN,UAL;54,13
YQR,ORD,ACA;51,34
YQR,ORD,UAL;61,43
YQR,MSP,DAL;43,13
YQR,LAS,WJA;89,45
YQT,YAM,BLS;62,26
YQT,YTS,BLS;67,8
YQT,YTZ,POE;7,01
YQT,YWG,ACA;16,58
YQT,YWG,BLS;43,17
YQT,YWG,WJA;73,69
YQT,YXL,BLS;7,31
YQT,YYZ,ACA;16,69
YQT,YYZ,WJA;1,58
YQT,YAG,BLS;27,23
YQU,YEG,ACA;30,5
YQU,YEG,WJA;91,78
YQU,YYC,ACA;62,24
YQU,YYC,WJA;63,7
YQX,YHZ,ACA;86,42
YQX,YYR,ACA;25,18
YQX,YYT,ACA;41,03
YQY,YHZ,ACA;68,9
YQY,YYZ,ACA;60,65
YQZ,YVR,ACA;87,83
YQZ,YWL,ACA;52,25
YRB,YGZ,AAS;14,16
YRB,YAB,FAB;91,58
YRT,YBK,MPE;97,41
YRT,YBK,FAB;52,13
YRT,YBK,AUH;90,09
YRT,YZS,MPE;61,13
YRT,YZS,AUH;90,26
YRT,YEK,FAB;66,16
YRT,YEK,AUH;88,48
YRT,YEK,MPE;22,36
YRT,YFB,MPE;62,31
YRT,YFB,FAB;95,53
YRT,YTH,AUH;31,96
YRT,YUT,MPE;84,41
YRT,YUT,AUH;88,66
YRT,YWG,FAB;86,09
YRT,YWG,AUH;84,23
YRT,YYQ,MPE;77,69
YRT,YYQ,AUH;77,63
YRT,YZF,MPE;13,43
YRT,YZF,FAB;58,22
YRT,YZF,AUH;26,85
YRT,YCS,MPE;97,55
YRT,YCS,FAB;27,31
YRT,YCS,AUH;93,28
YRT,YXN,FAB;54,07
YRT,YXN,AUH;92,44
YSB,YAM,BLS;18,71
YSB,YQT,BLS;86,25
YSB,YTS,BLS;64,32
YSB,YTZ,POE;63,18
YSB,YYB,BLS;67,49
YSB,YYZ,ACA;55,41
YSJ,YHZ,ACA;82,13
YSJ,YUL,ACA;56,06
YSJ,YYZ,ACA;5,51
YSM,YEG,PLR;62,48
YSM,YHY,PLR;38,45
YSM,YPY,PLR;29,62
YSM,YZF,PLR;60,93
YTE,YZS,FAB;47,81
YTE,YFB,MPE;44,49
YTE,YFB,FAB;91,8
YTH,YFO,AUH;51,77
YTH,YWG,AUH;8,37
YTH,YYQ,MPE;36,83
YTH,YYQ,AUH;84,71
YTH,YGX,AUH;90,27
YTH,YQD,AUH;13,18
YTS,YSB,BLS;16,65
YTS,YTZ,POE;93,64
YTS,YYU,BLS;17,71
YTS,YYZ,ACA;97,73
YTZ,YAM,POE;89,58
YTZ,YOW,POE;90,54
YTZ,YQB,POE;19
YTZ,YQG,POE;88,89
YTZ,YQT,POE;0,46
YTZ,YSB,POE;49,19
YTZ,YTS,POE;83,49
YTZ,YUL,ACA;48,35
YTZ,YUL,POE;71
YTZ,BOS,POE;43,73
YTZ,EWR,POE;63,39
YTZ,MYR,POE;57,84
YTZ,IAD,POE;72,62
YTZ,MDW,POE;25,55
YUL,YBC,ACA;63,39
YUL,YBG,ACA;16,56
YUL,YEG,ACA;77
YUL,YEG,WJA;58,73
YUL,YFC,ACA;13,14
YUL,YHZ,ACA;67,18
YUL,YHZ,POE;24,89
YUL,YOW,ACA;70,64
YUL,YQB,ACA;97,9
YUL,YQB,TSC;38,42
YUL,YQM,ACA;70,51
YUL,YSJ,ACA;76,06
YUL,YTZ,ACA;61,84
YUL,YTZ,POE;84,12
YUL,YUY,ACA;97,81
YUL,YVO,ACA;93,75
YUL,YVP,FAB;76,12
YUL,YVR,ACA;36,91
YUL,YVR,WJA;78,18
YUL,YWG,ACA;79,14
YUL,YWG,WJA;36,65
YUL,YYC,ACA;62,5
YUL,YYC,WJA;33,1
YUL,YYG,ACA;24,65
YUL,YYT,ACA;74,02
YUL,YYY,ACA;92,4
YUL,YYZ,ACA;75,72
YUL,YYZ,DLH;90,9
YUL,YYZ,SWR;33,74
YUL,YYZ,TSC;41,59
YUL,YYZ,UAL;9,75
YUL,YYZ,WJA;38,56
YUL,YZV,ACA;46,06
YUL,ALG,DAH;63,48
YUL,TUN,STU;6,81
YUL,BRU,ACA;74,64
YUL,BRU,DLH;93,65
YUL,BRU,DAT;96,03
YUL,BRU,TSC;69,38
YUL,FRA,ACA;85,38
YUL,FRA,DLH;81,42
YUL,MUC,ACA;26,14
YUL,MUC,DLH;86,02
YUL,LGW,TSC;97,94
YUL,LHR,AAL;37,98
YUL,LHR,ACA;48,01
YUL,LHR,FIN;12,94
YUL,LHR,BAW;56,22
YUL,LHR,IBE;26,72
YUL,LHR,DLH;16,77
YUL,AMS,DAL;80,58
YUL,AMS,KLM;98,36
YUL,CMN,RAM;37,15
YUL,BCN,TSC;57,91
YUL,AGP,TSC;74,12
YUL,BOD,TSC;30,18
YUL,TLS,TSC;57,42
YUL,LYS,TSC;28,81
YUL,MRS,TSC;3,35
YUL,NCE,TSC;31,34
YUL,CDG,ACA;73,1
YUL,CDG,AFR;94,85
YUL,CDG,AZA;66,2
YUL,CDG,DAL;78,39
YUL,CDG,DLH;43,73
YUL,CDG,TSC;49,36
YUL,ORY,CRL;33,44
YUL,FSP,SPM;57,83
YUL,VCE,TSC;92,09
YUL,FCO,TSC;29,94
YUL,LIS,TSC;34,37
YUL,GVA,ACA;57,59
YUL,GVA,DLH;74,55
YUL,GVA,SWR;86,12
YUL,GVA,UAL;30,57
YUL,ZRH,ACA;55,16
YUL,ZRH,SWR;48,94
YUL,PUJ,ACA;27,71
YUL,PUJ,TSC;10,49
YUL,PUJ,WJA;69,69
YUL,POP,TSC;91,97
YUL,MBJ,ACA;66,66
YUL,MBJ,TSC;67,17
YUL,CZM,ACA;42,94
YUL,MEX,AMX;85,53
YUL,PVR,TSC;15,57
YUL,CUN,ACA;78,77
YUL,CUN,TSC;17,2
YUL,CUN,WJA;91,94
YUL,PAP,ACA;85,15
YUL,CYO,CUB;95,81
YUL,CMW,CUB;94,14
YUL,HOG,ACA;3,15
YUL,HOG,CUB;40,58
YUL,HOG,TSC;98,83
YUL,SNU,ACA;66,77
YUL,SNU,CUB;79,67
YUL,SNU,TSC;15,22
YUL,VRA,ACA;25,28
YUL,VRA,TSC;40,03
YUL,ZSA,ACA;88,58
YUL,AMM,AAL;65,09
YUL,AMM,RJA;88,03
YUL,AMM,USA;46,91
YUL,DOH,QTR;37,08
YUL,FDF,ACA;62,58
YUL,PTP,ACA;65,2
YUL,BOS,ACA;37,13
YUL,BOS,UAL;10,7
YUL,SFO,ACA;93,79
YUL,SFO,UAL;7,21
YUL,LAX,ACA;69,22
YUL,LAX,UAL;18,5
YUL,EWR,ACA;48,17
YUL,EWR,UAL;48,24
YUL,DCA,AAL;89,03
YUL,DCA,ACA;36,58
YUL,DCA,USA;82,62
YUL,FLL,ACA;72,21
YUL,FLL,TSC;95,85
YUL,FLL,WJA;54,24
YUL,IAH,ACA;52,61
YUL,IAH,UAL;62,54
YUL,MIA,AAL;30,91
YUL,MIA,USA;20,97
YUL,MIA,WJA;92,23
YUL,DTW,AAL;12,7
YUL,DTW,DAL;28,55
YUL,DTW,RJA;36,17
YUL,DTW,USA;20,36
YUL,DFW,AAL;32,99
YUL,DFW,USA;84,42
YUL,DFW,WJA;95,93
YUL,ATL,AFR;49,16
YUL,ATL,AMX;20,84
YUL,ATL,DAL;30,77
YUL,LGA,AAL;48,3
YUL,LGA,ACA;27,87
YUL,LGA,DAL;49,38
YUL,LGA,UAL;67,52
YUL,LGA,USA;84,55
YUL,LGA,WJA;13,65
YUL,IAD,ACA;39,27
YUL,IAD,UAL;68,48
YUL,DEN,ACA;0,13
YUL,DEN,UAL;77,02
YUL,PHL,AAL;66,64
YUL,PHL,USA;62,18
YUL,JFK,AAL;77,65
YUL,JFK,FIN;48
YUL,JFK,AZA;10,33
YUL,JFK,DAL;6,71
YUL,JFK,USA;82,75
YUL,JFK,WJA;47,39
YUL,BDL,ACA;5
YUL,BDL,UAL;40,66
YUL,ORD,AAL;79,4
YUL,ORD,ACA;99,99
YUL,ORD,ETD;69,35
YUL,ORD,UAL;39,89
YUL,ORD,USA;37,41
YUL,ORD,WJA;41,57
YUL,MSP,DAL;42,44
YUL,MSP,WJA;93,48
YUL,CLT,AAL;1,55
YUL,CLT,USA;65,97
YUL,LAS,ACA;13,11
YUL,LAS,WJA;29,94
YUL,MCO,ACA;56,74
YUL,MCO,TSC;56,54
YUL,ATH,TSC;3,52
YUL,ZBF,ACA;67,67
YUL,AZS,ACA;22,89
YUL,CCC,ACA;3,9
YUL,CCC,CUB;92,35
YUL,CCC,TSC;98,04
YUT,YBK,FAB;74,09
YUT,YZS,AUH;91,41
YUT,YRT,AUH;71,03
YUX,YFB,MPE;49,76
YUX,YFB,FAB;37,22
YUX,YGT,MPE;58,14
YUX,YGT,FAB;71,18
YUY,YUL,ACA;92,93
YUY,YVO,ACA;91,02
YVM,YXP,MPE;29,89
YVM,YXP,FAB;17,79
YVO,YUL,ACA;32,52
YVO,YUY,ACA;28,81
YVP,YFB,FAB;90,25
YVP,YUL,FAB;48,49
YVQ,YEV,MPE;85,42
YVQ,YEV,FAB;79,73
YVQ,YZF,MPE;99,2
YVQ,YZF,FAB;30,97
YVQ,ZFN,FHE;12,35
YVQ,YGH,FHE;2,43
YVR,YBL,PCO;17,47
YVR,YBL,ACA;99,8
YVR,YCD,ACA;51,39
YVR,YCG,ACA;51,46
YVR,YEG,ACA;45,85
YVR,YEG,JAL;4,49
YVR,YEG,WJA;10
YVR,YKA,ACA;1,51
YVR,YLW,ANT;40,28
YVR,YLW,ACA;98,15
YVR,YLW,WJA;18,76
YVR,YMM,ACA;77,21
YVR,YOW,ACA;49,38
YVR,YPR,ACA;61,82
YVR,YQQ,PCO;4,69
YVR,YQR,ACA;89,53
YVR,YQR,WJA;65,67
YVR,YQZ,ACA;41,23
YVR,YUL,ACA;33,13
YVR,YUL,WJA;0,58
YVR,YWG,ACA;32,49
YVR,YWG,WJA;45,51
YVR,YWL,PCO;78,27
YVR,YWL,ACA;68,72
YVR,YXC,PCO;36,66
YVR,YXC,ACA;43,35
YVR,YXE,ACA;24,67
YVR,YXE,WJA;99,02
YVR,YXJ,ACA;58,18
YVR,YXJ,WJA;83,38
YVR,YXS,ACA;33,53
YVR,YXS,WJA;16,06
YVR,YXT,ACA;74,88
YVR,YXT,WJA;54,93
YVR,YXY,ANT;36,86
YVR,YXY,ACA;76,54
YVR,YYC,ACA;98,22
YVR,YYC,TSC;34,57
YVR,YYC,WJA;11,99
YVR,YYD,ACA;31,83
YVR,YYF,ACA;52,69
YVR,YYJ,PCO;68,41
YVR,YYJ,ACA;7,49
YVR,YYJ,WJA;57,3
YVR,YYZ,ACA;1,17
YVR,YYZ,PAL;33,28
YVR,YYZ,WJA;46,32
YVR,YZP,ACA;16,12
YVR,YZT,PCO;14,86
YVR,FRA,ACA;69,92
YVR,FRA,CFG;30,13
YVR,FRA,DLH;33,16
YVR,MUC,ACA;85,44
YVR,MUC,DLH;68,42
YVR,MAN,TSC;31,39
YVR,LGW,TSC;75,11
YVR,LHR,AAL;86,86
